nta,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
BK09,52,5317,7036,0.97799511,0.739056282
BK17,289,9177,15661,3.149177291,1.845348317
BK19,121,3014,5788,4.01459854,2.090532135
BK21,139,3703,6897,3.753713206,2.015369001
BK23,127,3299,5292,3.84965141,2.399848828
BK25,113,4222,7430,2.676456656,1.520861373
BK26,126,3313,6075,3.803199517,2.074074074
BK27,110,2730,5112,4.029304029,2.151799687
BK28,316,6725,12778,4.698884758,2.47300047
BK29,182,4808,9048,3.785357737,2.011494253
BK30,163,4969,8588,3.280338096,1.897997205
BK31,289,12925,20155,2.235976789,1.433887373
BK32,156,4315,8824,3.615295481,1.767905712
BK33,122,7103,10495,1.717584119,1.162458313
BK34,107,3313,7560,3.229701177,1.415343915
BK35,162,9581,17735,1.690846467,0.913447984
BK37,131,13458,18844,0.973398722,0.69518149
BK38,103,6204,9670,1.660219213,1.065149948
BK40,59,4700,6518,1.255319149,0.90518564
BK41,57,3942,6434,1.445966514,0.885918558
BK42,213,13206,21908,1.612903226,0.972247581
BK43,131,7405,12457,1.769074949,1.051617564
BK44,100,5012,8557,1.995211492,1.168633867
BK45,214,8713,13256,2.45610008,1.614363307
BK46,44,2787,4606,1.578758522,0.955275727
BK50,181,12789,20155,1.415278755,0.898040189
BK58,147,11901,18762,1.23519032,0.783498561
BK60,149,9372,16304,1.589842083,0.913886163
BK61,263,14216,24943,1.850028137,1.054404041
BK63,96,5951,10320,1.613174256,0.930232558
BK64,38,4007,5697,0.948340404,0.667017729
BK68,63,4563,7461,1.380670611,0.844390832
BK69,56,6128,9568,0.91383812,0.585284281
BK72,57,1908,6850,2.987421384,0.832116788
BK73,141,4848,10267,2.908415842,1.373332035
BK75,166,7607,14991,2.182200605,1.107331065
BK76,81,2929,5362,2.765448959,1.510630362
BK77,105,3634,8396,2.889378096,1.250595522
BK78,217,7594,16639,2.857519094,1.304164914
BK79,69,4259,7685,1.620098615,0.89785296
BK81,183,8373,15493,2.18559656,1.181178597
BK82,268,12331,22789,2.173384154,1.176005968
BK83,114,3805,9009,2.996057819,1.265401265
BK85,84,3540,6588,2.372881356,1.275045537
BK88,197,8725,17837,2.257879656,1.104445815
BK90,118,4060,7560,2.906403941,1.560846561
BK91,94,8655,14827,1.086077412,0.633978553
BK93,35,3114,5050,1.123956326,0.693069307
BK95,72,3471,6355,2.074330164,1.132966168
BK96,118,8035,13598,1.468574984,0.867774673
BX01,119,3273,6067,3.635808127,1.961430691
BX03,71,4730,7706,1.501057082,0.921359979
BX05,153,4241,7603,3.607639708,2.012363541
BX06,55,1676,2906,3.281622912,1.892635926
BX07,122,4106,6532,2.971261568,1.867728108
BX08,109,3400,6643,3.205882353,1.640824928
BX09,251,9593,16422,2.616491191,1.528437462
BX10,132,4812,7410,2.743142145,1.781376518
BX13,115,10992,15462,1.046215429,0.743758893
BX14,155,6813,11648,2.275062381,1.330700549
BX17,134,4554,8704,2.94246816,1.539522059
BX22,83,6587,8957,1.260057689,0.926649548
BX26,97,3463,5992,2.801039561,1.6188251
BX27,87,2640,4999,3.295454545,1.74034807
BX28,140,5808,9329,2.41046832,1.500696752
BX29,84,6199,8640,1.355057267,0.972222222
BX30,79,3007,4903,2.627203193,1.611258413
BX31,95,4250,6834,2.235294118,1.390108282
BX33,107,2701,4873,3.961495742,2.195772625
BX34,146,4510,8541,3.237250554,1.709401709
BX35,132,4106,7301,3.214807599,1.807971511
BX36,135,5303,9105,2.545728833,1.482701812
BX37,93,2787,4854,3.336921421,1.915945612
BX39,214,6239,12709,3.430036865,1.683846093
BX40,54,1913,3562,2.822791427,1.516002246
BX41,118,4000,7357,2.95,1.603914639
BX43,95,3432,5480,2.768065268,1.733576642
BX44,119,6960,11330,1.709770115,1.050308914
BX46,76,4941,7614,1.538150172,0.998161282
BX49,97,3656,5712,2.653172867,1.698179272
BX52,230,7489,12214,3.071171051,1.883084984
BX55,107,3436,6768,3.114086147,1.580969267
BX59,97,3083,5333,3.146286085,1.818863679
BX62,104,5524,8839,1.8826937,1.176603688
BX63,100,3364,5956,2.972651605,1.678979181
BX75,64,2258,4103,2.834366696,1.559834268
MN01,112,6282,9465,1.782871697,1.18330692
MN03,172,12980,19281,1.325115562,0.892069913
MN04,85,6131,9915,1.386396999,0.857286939
MN06,60,2600,4400,2.307692308,1.363636364
MN09,72,8670,11840,0.830449827,0.608108108
MN11,116,7114,10396,1.630587574,1.115813775
MN12,236,33321,43034,0.708262057,0.548403588
MN13,152,12697,16984,1.197133181,0.894959962
MN14,101,12697,16188,0.795463495,0.623918952
MN15,85,6928,9837,1.226905312,0.864084579
MN17,39,3170,5070,1.230283912,0.769230769
MN19,71,8391,11447,0.846144679,0.620249847
MN20,65,6659,9052,0.976122541,0.718073354
MN21,29,4391,5867,0.660441813,0.494290097
MN22,77,5745,7848,1.340295909,0.981141692
MN23,79,13172,16494,0.59975706,0.478962047
MN24,61,6086,8360,1.002300361,0.729665072
MN25,48,3705,4914,1.295546559,0.976800977
MN27,123,4078,7687,3.016184404,1.600104072
MN28,269,12061,19709,2.23032916,1.364858694
MN31,102,12498,16661,0.816130581,0.612208151
MN32,129,14411,18745,0.895149539,0.688183516
MN33,205,9029,14293,2.270461845,1.434268523
MN34,170,8550,13944,1.988304094,1.219162364
MN35,127,9179,13993,1.383592984,0.907596655
MN36,181,10067,17225,1.79795371,1.050798258
MN40,115,15531,21014,0.740454575,0.547254211
MN50,29,5164,6601,0.56158017,0.439327375
QN01,78,5085,8417,1.533923304,0.926695972
QN02,50,6271,8815,0.797321001,0.567214974
QN03,33,3131,4701,1.053976365,0.701978302
QN05,42,4099,5898,1.024640156,0.712105799
QN06,65,4577,6390,1.420144199,1.017214397
QN07,34,2843,4629,1.195919803,0.734499892
QN08,85,9628,14917,0.882841712,0.569819669
QN10,120,6941,9287,1.728857513,1.292128782
QN12,128,4747,7280,2.696439857,1.758241758
QN15,106,5658,8803,1.873453517,1.204134954
QN17,237,14175,19884,1.671957672,1.191913096
QN18,83,3530,5373,2.351274788,1.544760841
QN19,106,4775,7117,2.219895288,1.489391598
QN20,184,4802,8811,3.831736776,2.088298718
QN21,178,6924,10261,2.570768342,1.734723711
QN22,86,5394,8931,1.594364108,0.962938081
QN23,66,2259,3666,2.921646746,1.800327332
QN25,74,3900,6850,1.897435897,1.080291971
QN26,45,1999,3936,2.251125563,1.143292683
QN27,37,2326,3782,1.590713672,0.97831835
QN28,159,10601,16539,1.499858504,0.961364049
QN29,120,4928,8760,2.435064935,1.369863014
QN30,92,3505,5471,2.624821683,1.681593859
QN31,123,6596,9543,1.864766525,1.288902861
QN33,32,4784,7026,0.668896321,0.455451181
QN34,132,8191,12610,1.611524844,1.046788263
QN35,74,4045,6480,1.829419036,1.141975309
QN37,69,4984,7755,1.384430177,0.889748549
QN38,69,4825,7482,1.430051813,0.922213312
QN41,54,2724,3763,1.982378855,1.435025246
QN42,78,5091,7129,1.532115498,1.094122598
QN43,66,4214,5854,1.566207879,1.127434233
QN44,55,4324,5940,1.271970398,0.925925926
QN45,102,5571,7464,1.83091007,1.366559486
QN46,160,7529,10741,2.125116217,1.489619216
QN47,75,5397,7225,1.389660923,1.038062284
QN48,67,3269,4890,2.049556439,1.370143149
QN49,157,6213,8770,2.526959601,1.790193843
QN50,41,1681,2998,2.43902439,1.367578386
QN51,121,5683,8742,2.129157135,1.384122626
QN52,61,2345,3885,2.601279318,1.57014157
QN53,107,5122,8418,2.089027724,1.271085769
QN54,109,4705,8218,2.316684378,1.326356778
QN55,174,6950,12260,2.503597122,1.419249592
QN56,72,2258,3798,3.188662533,1.895734597
QN57,185,5935,8178,3.117101938,2.262166789
QN60,63,3385,4794,1.861152142,1.314142678
QN61,68,3920,6849,1.734693878,0.992845671
QN62,40,1675,3013,2.388059701,1.327580485
QN63,81,4300,6603,1.88372093,1.226715129
QN66,38,5882,8677,0.646038762,0.43793938
QN68,48,2311,3615,2.077022934,1.32780083
QN70,146,7829,12472,1.864861413,1.170622194
QN71,54,2725,4196,1.981651376,1.286939943
QN72,106,5871,9608,1.805484585,1.103247294
QN76,64,5284,8372,1.211203634,0.764452938
SI01,203,7555,10772,2.686962277,1.88451541
SI05,249,7923,11856,3.142748959,2.100202429
SI07,164,6955,9481,2.358015816,1.72977534
SI08,71,3393,4977,2.092543472,1.426562186
SI11,197,4941,6830,3.987047156,2.884333821
SI12,109,4413,7084,2.469975074,1.538678713
SI14,69,2478,3834,2.784503632,1.799687011
SI22,103,5478,8076,1.880248266,1.275383853
SI24,191,6755,9781,2.827535159,1.952765566
SI25,182,5689,8124,3.199156266,2.240275726
SI28,91,3521,5310,2.584493042,1.713747646
SI32,178,5120,7214,3.4765625,2.467424452
SI35,72,4517,6259,1.593978304,1.150343505
SI36,161,4451,6790,3.617164682,2.371134021
SI37,105,3718,5823,2.824098978,1.80319423
SI45,141,4483,6600,3.145215258,2.136363636
SI48,218,5871,8553,3.713166411,2.548813282
SI54,355,10975,15509,3.234624146,2.288993488