zipcode,count,total_voted,total,pct_first2016_total_voted,pct_first2016_total
10001,44,3530,5341,1.246458924,0.823815765
10002,263,10841,18127,2.425975464,1.450874386
10003,74,8820,11339,0.839002268,0.652614869
10004,3,224,294,1.339285714,1.020408163
10005,3,307,395,0.977198697,0.759493671
10007,10,751,1049,1.331557923,0.953288847
10009,143,10586,15285,1.350840733,0.935557736
10010,45,5115,6862,0.879765396,0.655785485
10011,102,10415,13372,0.979356697,0.762787915
10012,31,3342,4517,0.92758827,0.686296214
10013,41,3678,5277,1.11473627,0.776956604
10014,37,6399,8107,0.578215346,0.456395707
10016,67,6632,8916,1.010253317,0.751458053
10017,22,2135,3054,1.030444965,0.720366732
10018,13,542,803,2.398523985,1.618929016
10019,68,5470,7753,1.243144424,0.87707984
10021,68,8984,11843,0.756901158,0.57417884
10022,43,6028,8284,0.713337757,0.519072912
10023,97,13800,17514,0.702898551,0.55384264
10024,100,14955,18949,0.668672685,0.527732334
10025,169,21649,28649,0.780636519,0.589898426
10026,94,5498,8043,1.709712623,1.16871814
10027,107,8211,12273,1.303129948,0.871832478
10028,64,9547,12441,0.670367655,0.514428101
10029,264,11240,18357,2.348754448,1.438143487
10030,65,3874,6001,1.677852349,1.083152808
10031,102,6887,11262,1.481051256,0.905700586
10032,116,7139,12074,1.624877434,0.96074209
10033,135,7072,11456,1.908936652,1.178421788
10034,95,5223,7850,1.818878039,1.210191083
10035,102,4454,7279,2.290076336,1.401291386
10036,47,3770,5590,1.24668435,0.84078712
10037,35,4221,5990,0.829187396,0.584307179
10038,62,2620,4222,2.366412214,1.468498342
10039,60,4643,6723,1.29226793,0.892458724
10040,61,5228,8075,1.166794185,0.755417957
10044,11,1193,1793,0.922045264,0.613496933
10065,45,5192,7434,0.866718028,0.605326877
10069,11,638,804,1.724137931,1.368159204
10075,39,5556,7413,0.701943844,0.526102792
10128,121,11794,15244,1.025945396,0.79375492
10162,3,306,387,0.980392157,0.775193798
10280,10,1102,1373,0.907441016,0.728332119
10282,5,361,452,1.385041551,1.10619469
10301,148,7694,10937,1.923576813,1.353204718
10302,75,3013,4586,2.489213409,1.635412124
10303,83,3535,5717,2.347949081,1.45181039
10304,172,7075,10580,2.431095406,1.625708885
10305,224,6690,10258,3.348281016,2.183661532
10306,419,12942,18758,3.237521249,2.233713616
10307,120,3326,4556,3.607937462,2.633889377
10308,227,7520,10557,3.018617021,2.150232074
10309,260,7165,10162,3.628750872,2.558551466
10310,83,5196,7392,1.597382602,1.122835498
10312,508,15492,22259,3.2791118,2.282222921
10314,542,18723,27313,2.894835229,1.984403032
10451,171,6745,12384,2.535211268,1.380813953
10452,196,6619,11547,2.961172383,1.697410583
10453,172,7058,12220,2.436950978,1.407528642
10454,135,4319,8473,3.125723547,1.593296353
10455,164,4383,8393,3.741729409,1.954009293
10456,273,8455,15428,3.228858664,1.769509982
10457,191,6254,11532,3.054045411,1.656260839
10458,207,5718,10195,3.620146905,2.030407062
10459,153,4897,8681,3.124361854,1.762469762
10460,181,5822,10936,3.108897286,1.655084126
10461,195,6436,10777,3.029832194,1.809408926
10462,213,9891,15708,2.153472854,1.355996944
10463,182,12418,17885,1.465614431,1.017612524
10464,14,1075,1489,1.302325581,0.940228341
10465,241,7540,12144,3.196286472,1.984519104
10466,143,8258,13582,1.731654154,1.052864085
10467,251,9911,15897,2.532539602,1.578914261
10468,183,6445,10857,2.839410396,1.685548494
10469,177,9290,14725,1.905274489,1.202037351
10470,45,1995,3178,2.255639098,1.415984896
10471,73,5053,6937,1.444686325,1.052328096
10472,208,6477,12649,3.211363285,1.644398767
10473,280,10484,17945,2.67073636,1.56032321
10474,36,1014,1939,3.550295858,1.856627127
10475,107,10552,14797,1.014025777,0.723119551
11001,7,667,937,1.049475262,0.747065101
11004,39,2496,3454,1.5625,1.129125651
11005,1,641,774,0.15600624,0.129198966
11040,11,402,606,2.736318408,1.815181518
11101,65,3102,4531,2.095422308,1.434561907
11102,67,3336,5289,2.008393285,1.26678011
11103,54,2990,4921,1.806020067,1.097337939
11104,56,3127,4440,1.790853854,1.261261261
11105,70,4456,7248,1.570915619,0.965783664
11106,93,4476,6972,2.077747989,1.333907057
11109,9,350,439,2.571428571,2.050113895
11201,128,10456,14586,1.224177506,0.877553819
11203,162,12529,21986,1.293000239,0.73683253
11204,235,6850,13053,3.430656934,1.800352409
11205,84,5289,9677,1.588201929,0.868037615
11206,288,9022,18964,3.192196852,1.518666948
11207,250,11763,22209,2.12530817,1.125669774
11208,247,9383,19485,2.632420335,1.267641776
11209,250,11652,18031,2.145554411,1.386501026
11210,128,10491,17048,1.220093413,0.750821211
11211,166,5469,13208,3.035289815,1.256814052
11212,244,11315,20583,2.156429518,1.185444299
11213,164,8605,15634,1.905868681,1.048995778
11214,300,7121,13306,4.212891448,2.254621975
11215,145,12744,18030,1.137790333,0.804215197
11216,116,7267,12911,1.596257052,0.898458679
11217,72,6404,9684,1.124297314,0.743494424
11218,156,9675,15019,1.612403101,1.038684333
11219,178,6039,13064,2.947507866,1.362522964
11220,229,6380,13697,3.589341693,1.671898956
11221,209,9496,19175,2.200926706,1.089960887
11222,86,3272,5929,2.628361858,1.450497554
11223,235,7048,12994,3.334279228,1.808527012
11224,249,6493,11373,3.834899122,2.189395938
11225,131,9030,14868,1.450719823,0.881086898
11226,206,11848,20875,1.738690074,0.986826347
11228,183,5954,10033,3.073563991,1.823980863
11229,265,10760,18617,2.462825279,1.423430198
11230,188,10498,17564,1.790817299,1.070371214
11231,117,6143,9173,1.90460687,1.275482394
11232,53,1961,3694,2.702702703,1.434759069
11233,155,9790,17614,1.583248212,0.879981833
11234,317,16846,26000,1.881752345,1.219230769
11235,319,8878,15571,3.593151611,2.048680239
11236,205,14698,23158,1.394747585,0.885223249
11237,89,2937,6741,3.03030303,1.32027889
11238,87,9605,14005,0.90577824,0.621206712
11239,41,3404,5400,1.204465335,0.759259259
11249,67,2750,6423,2.436363636,1.043126265
11354,100,4979,7910,2.008435429,1.264222503
11355,110,5593,9888,1.966744144,1.112459547
11356,68,2256,3637,3.014184397,1.869672807
11357,197,8183,11617,2.407430038,1.695790652
11358,117,5636,8208,2.075940383,1.425438596
11360,62,4610,6160,1.344902386,1.006493506
11361,96,4635,6612,2.071197411,1.451905626
11362,67,3831,5197,1.748890629,1.289205311
11363,35,1759,2296,1.989766913,1.524390244
11364,101,6064,8584,1.665567282,1.176607642
11365,101,6322,9361,1.597595698,1.078944557
11366,45,2269,3360,1.983252534,1.339285714
11367,83,5270,8429,1.574952562,0.984695693
11368,119,5916,10797,2.011494253,1.102158007
11369,56,3805,6165,1.4717477,0.908353609
11370,62,2649,4480,2.340505851,1.383928571
11372,94,7136,10758,1.317264574,0.873768358
11373,150,5782,10388,2.594258042,1.443973816
11374,129,5389,8245,2.393765077,1.564584597
11375,191,12390,17116,1.541565779,1.115914933
11377,150,8128,12758,1.845472441,1.175732873
11378,116,4152,6472,2.793834297,1.792336218
11379,168,6336,9392,2.651515152,1.788756388
11385,267,9273,15435,2.879327079,1.729834791
11411,33,4798,7098,0.687786578,0.464919696
11412,51,6764,10788,0.753991721,0.472747497
11413,59,8109,12119,0.727586632,0.486838848
11414,185,5934,8177,3.117627233,2.262443439
11415,47,2761,3882,1.702281782,1.210716126
11416,56,1721,3109,3.253922138,1.801222258
11417,90,2780,4755,3.237410072,1.892744479
11418,71,3380,5463,2.100591716,1.299652206
11419,89,3194,6184,2.78647464,1.43919793
11420,103,4764,7946,2.162048699,1.296249685
11421,70,3832,6165,1.826722338,1.135442011
11422,58,5352,7672,1.083707025,0.755995829
11423,56,4028,6285,1.390268123,0.891010342
11426,46,3289,4526,1.398601399,1.016349978
11427,73,3798,5515,1.922064244,1.323662738
11428,56,2667,4074,2.099737533,1.374570447
11429,52,4360,6696,1.19266055,0.776583035
11432,96,6173,9598,1.555159566,1.000208377
11433,67,4369,7127,1.533531701,0.940086993
11434,113,11998,17610,0.941823637,0.641680863
11435,89,5394,8880,1.649981461,1.002252252
11436,32,2638,4174,1.213040182,0.766650695
11691,139,6670,10362,2.083958021,1.341439876
11692,62,2388,3672,2.596314908,1.688453159
11693,55,2114,3062,2.601702933,1.796211626
11694,83,4623,6216,1.795370971,1.335263835
11697,15,1564,2075,0.959079284,0.722891566